ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Daniyal,1,1771510184748,0.01915,3.79002,8.7963,-6.16,2.52,3.01
Daniyal,2,1771510184766,0.55545,3.9624,9.03811,-8.575,8.855,1.54
Daniyal,3,1771510184782,0.42377,3.98156,9.30147,-9.52,12.635,0.315
Daniyal,4,1771510184810,0.31364,3.84748,9.2895,-8.925,13.72,0.14
Daniyal,5,1771510184827,0.0431,3.83791,9.10994,-7.84,10.885,1.05
Daniyal,6,1771510184843,0.01437,3.76847,8.82982,-6.51,4.935,1.785
Daniyal,7,1771510184860,0.21308,3.65595,8.76038,-6.02,2.695,0.595
Daniyal,8,1771510184877,0.21308,3.65595,8.76038,-6.335,2.625,-1.645
Daniyal,9,1771510184894,0.2466,3.59609,8.80827,-5.845,7.735,-2.975
Daniyal,10,1771510184910,0.06464,3.60567,9.28711,-4.865,7.245,-4.795
Daniyal,11,1771510184927,0.18435,3.68228,9.07402,-4.41,8.015,-6.93
Daniyal,12,1771510184943,-0.05507,3.64398,8.83221,-5.39,8.435,-8.365
Daniyal,13,1771510184961,-0.1245,3.71341,8.68856,-6.51,4.865,-8.785
Daniyal,14,1771510184976,-0.1245,3.71341,8.68856,-6.195,-3.22,-11.025
Daniyal,15,1771510184992,-0.1652,3.99832,8.82024,-3.22,-6.23,-11.83
Daniyal,16,1771510185010,-0.20351,3.69665,8.7532,-1.225,-6.125,-14.42
Daniyal,17,1771510185026,-0.43096,3.45244,8.71489,-2.59,-9.1,-15.435
Daniyal,18,1771510185043,-0.84515,3.82354,9.05966,-3.29,-20.37,-14.525
Daniyal,19,1771510185059,-0.65122,4.20182,8.82503,-4.725,-63.175,-20.79
Daniyal,20,1771510185076,-0.65122,4.20182,8.82503,-1.645,-75.355,-29.68
Daniyal,21,1771510185094,-0.19872,4.03902,8.98783,5.18,-75.88,-38.64
Daniyal,22,1771510185113,-0.17478,3.59849,9.36372,16.625,-94.815,-54.53
Daniyal,23,1771510185133,-1.08218,3.65355,9.21289,14.63,-114.94001,-63.49
Daniyal,24,1771510185151,-2.20506,3.23457,7.86735,5.95,-133.455,-61.04
Daniyal,25,1771510185168,-2.67911,2.13563,8.95671,9.73,-150.74501,-47.985
Daniyal,26,1771510185184,-2.54982,0.83079,12.8832,32.41,-183.12001,-32.865
Daniyal,27,1771510185201,1.12527,1.67834,12.71321,66.045,-188.685,-16.31
Daniyal,28,1771510185217,1.12527,1.67834,12.71321,56.385,-160.96501,5.04
Daniyal,29,1771510185234,1.21147,4.69024,7.23049,10.675,-175.77,34.65
Daniyal,30,1771510185250,2.05901,5.0805,7.68539,-2.66,-180.77499,35.595
Daniyal,31,1771510185267,3.21062,3.37343,3.90015,-21.665,-151.02501,22.96
Daniyal,32,1771510185283,6.38055,-0.11492,4.24253,-44.73,-83.72,-61.53
Daniyal,33,1771510185300,-1.52032,3.13162,2.67193,-84.315,-85.925,-66.78001
Daniyal,34,1771510185317,-1.52032,3.13162,2.67193,-130.41,-40.53,-17.01
Daniyal,35,1771510185333,0.13886,3.12922,0.47166,-184.10001,46.515,18.34
Daniyal,36,1771510185353,-2.46842,1.91297,5.98311,-190.75,84.245,68.215
Daniyal,37,1771510185371,-1.14922,-0.09816,10.33098,-176.47,102.41,123.41
Daniyal,38,1771510185386,2.23618,-2.16436,12.24395,-165.90001,118.79001,144.86501
Daniyal,39,1771510185399,6.97431,-3.54342,13.11304,-148.26001,111.16,139.965
Daniyal,40,1771510185416,6.97431,-3.54342,13.11304,-138.705,114.17,109.83
Daniyal,41,1771510185433,9.35654,-3.4285,12.61026,-117.84499,132.02,62.44
Daniyal,42,1771510185450,5.60961,-1.5275,13.73554,-88.9,123.75999,56.63
Daniyal,43,1771510185466,2.65996,-0.18196,11.87285,-67.165,104.265,74.025
Daniyal,44,1771510185483,2.99993,-0.50757,10.13466,-56.7,70.525,98.035
Daniyal,45,1771510185499,5.27921,-1.08697,10.21366,-47.705,49.805,102.62
Daniyal,46,1771510185516,5.27921,-1.08697,10.21366,-26.04,37.205,98.665
Daniyal,47,1771510185533,6.40928,-0.52433,11.50653,18.48,9.065,94.64
Daniyal,48,1771510185549,6.25365,-0.71108,12.53125,55.055,-16.345,95.2
Daniyal,49,1771510185566,4.45322,-1.00317,10.98939,83.86,-49.175,108.11501
Daniyal,50,1771510185583,4.85305,-3.36625,8.87052,99.4,-100.87,130.02499
Daniyal,51,1771510185599,4.36942,-4.66391,7.18261,93.975,-129.325,153.68501
Daniyal,52,1771510185615,4.36942,-4.66391,7.18261,75.60001,-160.44,170.27501
Daniyal,53,1771510185632,5.4899,-4.59687,5.41808,37.24,-181.09001,177.03001
Daniyal,54,1771510185648,5.6982,-3.86424,3.2633,-23.205,-148.47,165.16499
Daniyal,55,1771510185665,6.76841,-3.50272,3.32794,-73.01,-93.275,133.07001
Daniyal,56,1771510185682,8.78193,-2.31759,4.71897,-134.645,-38.43,79.135
Daniyal,57,1771510185699,10.80743,-3.26569,9.88566,-153.125,16.45,27.125
